time,temperature_2m (°C),relative_humidity_2m (%),precipitation_probability (%),precipitation (mm),rain (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),visibility (m),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_80m (km/h),wind_direction_10m (°),wind_direction_80m (°),temperature_80m (°C),temperature_120m (°C)
2024-08-17T00:00,15.2,90,,1.3,0.1,1015.3,784.3,100,8720.0,0.17,7.3,7.9,20,30,14.2,14.0
2024-08-17T01:00,14.9,91,,1.6,1.5,1014.9,783.8,100,11920.0,0.15,6.8,7.6,3,3,13.9,13.7
2024-08-17T02:00,14.8,92,,1.9,1.7,1014.7,783.6,100,10580.0,0.13,5.6,6.6,320,315,13.8,13.6
2024-08-17T03:00,14.9,91,,0.8,0.7,1014.3,783.4,100,24140.0,0.15,3.9,5.2,304,295,13.9,13.7
2024-08-17T04:00,14.9,90,,0.1,0.0,1014.3,783.4,100,24140.0,0.17,4.2,3.9,59,56,14.0,13.8
2024-08-17T05:00,14.8,90,,0.1,0.0,1014.5,783.4,93,24140.0,0.17,4.0,4.0,63,63,14.1,13.8
2024-08-17T06:00,14.8,89,,0.0,0.0,1014.6,783.5,100,24140.0,0.19,3.3,3.4,49,58,14.1,13.9
2024-08-17T07:00,15.0,88,,0.0,0.0,1015.0,784.0,100,24140.0,0.21,2.5,2.9,360,360,14.2,14.0
2024-08-17T08:00,15.5,85,,0.0,0.0,1014.8,784.2,100,24140.0,0.26,3.3,4.1,347,345,14.5,14.4
2024-08-17T09:00,16.9,78,,0.0,0.0,1014.0,784.5,100,24140.0,0.42,3.6,4.0,354,350,15.5,15.2
2024-08-17T10:00,19.0,67,,0.0,0.0,1012.8,785.0,100,24140.0,0.73,4.3,4.7,5,4,16.7,16.5
2024-08-17T11:00,21.2,58,,0.0,0.0,1011.2,785.2,80,24140.0,1.06,4.3,4.7,5,4,18.1,17.9
2024-08-17T12:00,22.6,50,,0.0,0.0,1009.5,784.8,100,24020.0,1.37,8.6,10.1,358,358,19.8,19.6
2024-08-17T13:00,24.2,44,,0.0,0.0,1007.8,784.5,75,23980.0,1.69,8.4,9.4,353,358,21.2,21.0
2024-08-17T14:00,25.6,40,,0.0,0.0,1006.4,784.3,20,23980.0,1.97,6.1,6.5,357,6,22.3,22.1
2024-08-17T15:00,23.7,45,,0.1,0.0,1005.7,782.6,100,24140.0,1.61,8.9,9.8,32,28,22.3,22.1
2024-08-17T16:00,21.2,55,,0.1,0.1,1006.5,781.5,100,24040.0,1.13,11.2,16.3,4,352,20.3,20.1
2024-08-17T17:00,21.0,56,,0.0,0.0,1006.5,781.4,100,21180.0,1.1,9.2,12.1,321,330,19.9,19.7
2024-08-17T18:00,19.7,68,,1.1,0.0,1008.2,781.9,85,8500.0,0.74,4.7,6.3,23,24,18.9,18.7
2024-08-17T19:00,18.5,76,,1.1,0.0,1009.6,782.2,100,8560.0,0.51,2.3,3.4,231,212,17.9,17.7
2024-08-17T20:00,18.1,77,,1.2,0.0,1011.3,783.2,100,10180.0,0.48,3.3,5.2,257,245,17.4,17.2
2024-08-17T21:00,17.6,79,,0.3,0.0,1012.6,783.9,100,23420.0,0.42,5.2,5.0,295,291,16.7,16.6
2024-08-17T22:00,16.9,83,,0.7,0.3,1013.9,784.4,100,23300.0,0.33,6.9,7.1,332,330,16.0,15.9
2024-08-17T23:00,16.2,85,,1.5,0.1,1014.6,784.5,100,15820.0,0.28,5.4,7.2,352,6,15.5,15.4
2024-08-18T00:00,15.7,87,,1.0,0.1,1014.7,784.2,100,23320.0,0.23,8.6,10.0,327,330,14.9,14.7
2024-08-18T01:00,15.7,86,,0.5,0.0,1014.2,783.8,100,22480.0,0.25,8.7,10.9,330,333,14.9,14.8
2024-08-18T02:00,15.6,86,,0.5,0.0,1013.9,783.5,100,12780.0,0.25,8.6,11.6,338,338,14.8,14.6
2024-08-18T03:00,15.4,87,,0.3,0.0,1013.5,783.1,100,23540.0,0.23,7.6,11.3,352,351,14.7,14.5
2024-08-18T04:00,15.3,87,,0.3,0.0,1013.4,782.9,99,23560.0,0.23,6.5,9.4,360,356,14.6,14.5
2024-08-18T05:00,15.2,87,,0.2,0.0,1013.7,783.1,100,23740.0,0.23,7.0,10.6,21,18,14.5,14.4
2024-08-18T06:00,15.2,85,,0.1,0.0,1014.2,783.5,100,24140.0,0.26,5.6,8.1,15,13,14.6,14.4
2024-08-18T07:00,15.4,84,,0.0,0.0,1014.6,783.9,100,24140.0,0.28,4.3,5.8,360,4,14.6,14.4
2024-08-18T08:00,16.3,78,,0.0,0.0,1014.4,784.4,100,24140.0,0.41,5.0,6.1,360,357,15.1,14.9
2024-08-18T09:00,17.7,69,,0.0,0.0,1013.8,784.9,100,24140.0,0.63,6.2,6.8,339,342,16.0,15.8
2024-08-18T10:00,19.7,58,,0.0,0.0,1012.6,785.3,5,24140.0,0.97,6.6,7.3,351,349,17.3,17.0
2024-08-18T11:00,21.6,49,,0.0,0.0,1011.2,785.5,0,24140.0,1.32,6.9,8.0,9,5,18.6,18.4
2024-08-18T12:00,23.0,39,6.0,0.0,0.0,1009.8,785.3,5,24140.0,1.72,7.3,8.3,9,2,19.7,19.5
2024-08-18T13:00,23.9,34,10.0,0.0,0.0,1008.1,784.5,10,24140.0,1.96,9.7,11.9,2,358,20.9,20.6
2024-08-18T14:00,24.7,33,17.0,0.0,0.0,1006.6,783.9,11,24140.0,2.09,9.4,11.5,2,358,21.8,21.6
2024-08-18T15:00,25.4,32,29.0,0.0,0.0,1005.6,783.6,6,24140.0,2.21,7.6,9.4,355,356,22.6,22.4
2024-08-18T16:00,25.7,32,52.0,0.0,0.0,1004.8,783.1,35,24140.0,2.25,5.7,6.8,35,32,23.2,23.0
2024-08-18T17:00,23.6,39,80.0,0.0,0.0,1005.0,781.9,100,24140.0,1.78,9.6,11.9,56,61,22.4,22.2
2024-08-18T18:00,22.4,48,100.0,0.0,0.0,1006.3,782.2,100,22480.0,1.41,13.2,17.5,29,32,21.2,21.0
2024-08-18T19:00,20.6,56,100.0,0.0,0.0,1008.6,782.8,62,24140.0,1.07,16.3,22.1,22,28,19.8,19.6
2024-08-18T20:00,19.3,64,100.0,0.3,0.0,1010.4,783.3,100,11040.0,0.81,13.3,17.9,13,25,18.4,18.3
2024-08-18T21:00,17.4,79,100.0,1.0,0.0,1012.2,783.4,100,10020.0,0.42,13.2,18.4,11,23,16.8,16.7
2024-08-18T22:00,16.3,84,100.0,0.6,0.0,1013.8,783.9,100,23580.0,0.3,12.6,18.0,5,16,15.6,15.5
2024-08-18T23:00,16.0,85,99.0,0.5,0.0,1014.3,784.1,100,23440.0,0.27,11.0,14.0,349,359,15.2,15.1
2024-08-19T00:00,15.8,86,90.0,0.3,0.0,1014.0,783.7,100,23560.0,0.25,9.1,12.0,342,351,15.1,14.9
2024-08-19T01:00,15.9,83,64.0,0.4,0.0,1013.8,783.7,100,23600.0,0.31,6.8,9.1,342,353,15.1,15.0
2024-08-19T02:00,15.8,82,29.0,0.0,0.0,1013.5,783.4,100,24080.0,0.32,7.3,8.8,340,351,15.0,14.8
2024-08-19T03:00,15.6,82,3.0,0.0,0.0,1013.2,783.0,100,24140.0,0.32,8.4,10.1,350,356,14.7,14.5
2024-08-19T04:00,15.3,83,0.0,0.0,0.0,1013.5,783.0,100,23740.0,0.3,8.7,10.4,353,358,14.4,14.2
2024-08-19T05:00,14.9,84,0.0,0.0,0.0,1014.2,783.3,100,24140.0,0.27,7.2,9.4,354,360,14.1,13.9
2024-08-19T06:00,14.6,84,0.0,0.0,0.0,1014.9,783.6,53,24140.0,0.27,7.2,9.1,6,9,13.8,13.6
